technology_sk,technology_name,seniority
1,Data Engineer,Intern
2,Client Success,Mid-Level
3,QA Manual,Trainee
4,Social Media Community Management,Mid-Level
5,Adobe Experience Manager,Junior
6,Sales,Trainee
7,Mulesoft,Lead
8,Social Media Community Management,Lead
9,DevOps,Lead
10,Development - CMS Backend,Intern
11,Salesforce,Mid-Level
12,System Administration,Junior
13,Security,Architect
14,Game Development,Mid-Level
15,Social Media Community Management,Architect
16,Social Media Community Management,Senior
17,Development - CMS Frontend,Trainee
18,Adobe Experience Manager,Architect
19,Game Development,Architect
20,Security Compliance,Lead
21,Game Development,Junior
22,Development - Backend,Mid-Level
23,DevOps,Architect
24,Design,Lead
25,Security,Junior
26,Business Analytics / Project Management,Trainee
27,Mulesoft,Junior
28,Security,Mid-Level
29,Development - Backend,Senior
30,Mulesoft,Architect
31,Client Success,Intern
32,Adobe Experience Manager,Senior
33,Development - Frontend,Senior
34,Development - FullStack,Intern
35,Development - CMS Frontend,Intern
36,Business Intelligence,Intern
37,Development - FullStack,Lead
38,Database Administration,Trainee
39,Security,Senior
40,DevOps,Mid-Level
41,Development - Frontend,Mid-Level
42,DevOps,Junior
43,Game Development,Intern
44,Business Analytics / Project Management,Lead
45,Development - FullStack,Architect
46,Game Development,Senior
47,Data Engineer,Architect
48,Game Development,Lead
49,Development - CMS Frontend,Lead
50,Development - CMS Backend,Architect
51,Security Compliance,Junior
52,Sales,Lead
53,Development - Backend,Junior
54,QA Automation,Lead
55,Technical Writing,Trainee
56,Sales,Mid-Level
57,Development - Frontend,Junior
58,Business Analytics / Project Management,Architect
59,Salesforce,Architect
60,Game Development,Trainee
61,Business Intelligence,Mid-Level
62,Mulesoft,Senior
63,Design,Junior
64,DevOps,Intern
65,Salesforce,Junior
66,DevOps,Senior
67,Security,Trainee
68,Client Success,Lead
69,Business Intelligence,Junior
70,Security Compliance,Trainee
71,Development - Frontend,Trainee
72,Sales,Senior
73,System Administration,Intern
74,Development - CMS Frontend,Senior
75,Technical Writing,Junior
76,Development - Backend,Lead
77,Data Engineer,Mid-Level
78,Design,Senior
79,Development - CMS Frontend,Architect
80,Database Administration,Architect
81,Mulesoft,Trainee
82,Social Media Community Management,Intern
83,Client Success,Architect
84,Salesforce,Lead
85,Security,Intern
86,Design,Mid-Level
87,Database Administration,Junior
88,DevOps,Trainee
89,Development - Frontend,Intern
90,QA Manual,Junior
91,Development - Backend,Trainee
92,Business Analytics / Project Management,Intern
93,Sales,Architect
94,Development - FullStack,Trainee
95,Design,Intern
96,Development - FullStack,Junior
97,Technical Writing,Lead
98,Security Compliance,Intern
99,Development - Backend,Intern
100,Database Administration,Senior
101,Security Compliance,Architect
102,Mulesoft,Mid-Level
103,Development - CMS Backend,Senior
104,Development - FullStack,Senior
105,Business Analytics / Project Management,Junior
106,Business Analytics / Project Management,Senior
107,QA Manual,Senior
108,Adobe Experience Manager,Intern
109,Client Success,Trainee
110,Development - CMS Frontend,Mid-Level
111,Social Media Community Management,Trainee
112,QA Automation,Junior
113,QA Automation,Trainee
114,Adobe Experience Manager,Mid-Level
115,Database Administration,Mid-Level
116,QA Automation,Senior
117,Design,Architect
118,Technical Writing,Senior
119,Mulesoft,Intern
120,Security Compliance,Senior
121,Adobe Experience Manager,Lead
122,Client Success,Senior
123,System Administration,Lead
124,Development - CMS Backend,Mid-Level
125,Technical Writing,Intern
126,Database Administration,Lead
127,QA Manual,Architect
128,Development - Frontend,Architect
129,Security,Lead
130,Sales,Junior
131,QA Manual,Lead
132,Technical Writing,Architect
133,QA Automation,Mid-Level
134,Development - CMS Backend,Lead
135,Development - CMS Frontend,Junior
136,Business Analytics / Project Management,Mid-Level
137,Business Intelligence,Architect
138,Salesforce,Intern
139,Data Engineer,Senior
140,QA Automation,Architect
141,Development - Frontend,Lead
142,System Administration,Mid-Level
143,QA Manual,Mid-Level
144,Technical Writing,Mid-Level
145,System Administration,Trainee
146,Business Intelligence,Lead
147,Development - CMS Backend,Trainee
148,Salesforce,Trainee
149,Business Intelligence,Senior
150,System Administration,Architect
151,Data Engineer,Lead
152,QA Automation,Intern
153,Client Success,Junior
154,Development - FullStack,Mid-Level
155,System Administration,Senior
156,Salesforce,Senior
157,Design,Trainee
158,Database Administration,Intern
159,Data Engineer,Junior
160,Sales,Intern
161,Data Engineer,Trainee
162,Development - CMS Backend,Junior
163,QA Manual,Intern
164,Adobe Experience Manager,Trainee
165,Business Intelligence,Trainee
166,Social Media Community Management,Junior
167,Security Compliance,Mid-Level
168,Development - Backend,Architect
