evaluation_id,candidate_sk,technology_sk,location_sk,application_date_sk,years_of_experience,code_challenge_score,technical_interview_score,is_hired
1,1,1,1,20210226,2,3,3,0
2,2,1,2,20210909,10,2,10,0
3,3,2,3,20200414,4,10,9,1
4,4,3,4,20201001,25,7,1,0
5,5,4,5,20200520,13,9,7,1
6,6,5,6,20190817,8,2,9,0
7,7,6,7,20180518,19,2,9,0
8,8,7,5,20211209,1,2,5,0
9,9,8,8,20180313,18,7,10,1
10,10,9,9,20220408,25,2,0,0
11,11,10,10,20190922,24,4,9,0
12,12,9,11,20200715,28,7,4,0
13,13,11,12,20211227,3,5,10,0
14,14,12,13,20200509,16,7,8,1
15,15,13,14,20191012,18,4,1,0
16,16,14,15,20181018,21,4,6,0
17,17,15,16,20200325,28,5,5,0
18,18,16,17,20210523,19,3,5,0
19,19,17,18,20180502,20,4,2,0
20,20,18,14,20210413,3,2,3,0
21,21,19,19,20190321,29,0,2,0
22,22,20,20,20200712,11,4,1,0
23,23,21,21,20210109,14,8,8,1
24,24,22,22,20210727,24,7,5,0
25,25,23,23,20191118,3,5,6,0
26,26,8,24,20180425,6,8,4,0
27,27,24,25,20200126,5,8,10,1
28,28,25,26,20211204,21,6,8,0
29,29,26,27,20220105,0,1,4,0
30,30,27,28,20201128,0,5,1,0
31,31,28,17,20190525,25,5,0,0
32,32,29,29,20180921,13,3,7,0
33,33,30,30,20180304,29,3,6,0
34,34,31,31,20210819,20,10,0,0
35,35,32,2,20180821,9,8,8,1
36,36,9,32,20200624,17,4,2,0
37,37,33,33,20180313,9,3,5,0
38,38,34,34,20190107,27,8,0,0
39,39,35,35,20220126,9,10,4,0
40,40,36,36,20191216,4,2,2,0
41,41,37,37,20220325,8,4,0,0
42,42,38,38,20181004,26,3,3,0
43,43,20,39,20191202,4,3,6,0
44,44,39,40,20200910,18,5,0,0
45,45,40,41,20210307,27,0,0,0
46,46,41,42,20210705,13,6,5,0
47,47,42,43,20210409,11,7,8,1
48,48,43,37,20190426,11,2,8,0
49,49,32,44,20201224,10,6,2,0
50,50,44,45,20210328,28,2,9,0
51,51,42,7,20200923,30,8,7,1
52,52,45,26,20180305,24,2,8,0
53,53,46,46,20210626,26,5,5,0
54,54,39,47,20220227,18,10,10,1
55,55,47,48,20220326,3,9,2,0
56,56,26,49,20181026,19,10,7,1
57,57,48,50,20210906,18,8,5,0
